,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
406,320,Xavier Munford,SG,23,MEM,14,244,73%,25%,3%,,,-6.6,-4.5,6,4,10,2,8,2,47,4,7,2016
407,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
408,321,Mike Muscala,C,24,ATL,60,565,,,,5%,95%,-2.4,-7.1,15,7,46,3,11,4,79,3,2,2016
409,322,Larry Nance Jr.,PF,23,LAL,63,1266,,,8%,61%,31%,-4.5,8.5,16,10,61,9,18,1,105,5,19,2016
410,323,Shabazz Napier,PG,24,ORL,55,600,99%,2%,,,,-5.0,-3.9,30,11,17,3,19,4,231,3,7,2016
411,324,Gary Neal,SG,31,WAS,40,807,,85%,15%,,,-9.7,-11.6,10,12,22,5,21,2,112,6,11,2016
412,325,Jameer Nelson,PG,33,DEN,39,1036,100%,,,,,-6.4,-4.4,47,14,43,2,11,7,440,1,11,2016
413,326,Raul Neto,PG,23,UTA,81,1499,100%,,,,,3.2,2.2,70,23,45,1,29,17,396,8,28,2016
414,327,Andrew Nicholson,PF,26,ORL,56,823,,,,93%,7%,1.2,3.6,13,9,26,13,27,1,65,10,8,2016
415,328,Joakim Noah,C,30,CHI,29,635,,,,21%,79%,-0.4,1.6,34,6,38,4,16,1,254,1,16,2016
416,329,Nerlens Noel,C,21,PHI,67,1965,,,,35%,65%,-11.4,-1.4,67,62,96,13,101,9,283,19,39,2016
417,330,Lucas Nogueira,C,23,TOR,29,225,,,,,100%,7.7,3.1,1,5,11,3,6,0,16,1,3,2016
418,331,Steve Novak,PF,32,TOT,10,44,,,10%,90%,,8.5,6.8,1,0,2,0,0,0,0,0,0,2016
419,331,Steve Novak,PF,32,OKC,7,24,,,12%,88%,,20.5,13.4,1,0,1,0,0,0,0,0,0,2016
420,331,Steve Novak,PF,32,MIL,3,20,,,8%,92%,,-4.5,-0.5,0,0,1,0,0,0,0,0,0,2016
421,332,Dirk Nowitzki,PF,37,DAL,75,2364,,,,67%,33%,2.6,6.9,47,27,100,9,82,10,324,16,14,2016
422,333,Jusuf Nurkić,C,21,DEN,32,547,,,,,100%,-0.4,3.1,14,20,47,15,42,7,92,11,26,2016
423,334,J.J. O'Brien,SF,23,UTA,2,6,,29%,71%,,,-51.6,-53.6,0,0,1,0,0,0,0,0,0,2016
424,335,Johnny O'Bryant,PF,22,MIL,66,857,,,,98%,2%,-6.4,-3.1,11,11,39,4,21,3,70,6,18,2016
425,336,Kyle O'Quinn,PF,25,NYK,65,764,,,,29%,71%,-3.6,-0.9,29,9,62,13,25,2,156,6,18,2016
426,337,Jahlil Okafor,C,20,PHI,53,1591,,,,,100%,-16.4,-9.4,29,46,72,27,96,2,152,27,68,2016
427,338,Victor Oladipo,SG,23,ORL,72,2379,19%,78%,3%,,,-0.1,3.9,79,51,78,8,93,10,642,14,68,2016
428,339,Kelly Olynyk,C,24,BOS,69,1395,,,,15%,86%,5.7,3.8,16,20,77,15,53,8,243,12,33,2016
429,340,Kelly Oubre Jr.,SF,20,WAS,63,671,,10%,84%,6%,,-1.5,-1.3,9,13,53,6,27,5,29,9,20,2016
430,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
431,341,Zaza Pachulia,C,31,DAL,76,2004,,,,,100%,0.1,0.6,34,41,45,28,108,10,301,13,48,2016
432,342,Kostas Papanikolaou,SF,25,DEN,26,294,,,59%,39%,2%,-1.1,2.2,15,4,10,1,3,2,38,0,8,2016
433,343,Jabari Parker,PF,20,MIL,76,2408,,,9%,90%,1%,-4.0,0.0,56,32,71,9,108,5,285,21,77,2016
434,344,Tony Parker,PG,33,SAS,72,1980,92%,8%,,,,10.8,-1.3,72,37,46,4,63,7,841,11,39,2016
435,345,Chandler Parsons,SF,27,DAL,61,1799,,,66%,34%,,0.7,1.6,51,30,51,8,56,13,410,11,42,2016
436,346,Lamar Patterson,SG,24,ATL,35,395,1%,78%,19%,2%,,4.4,0.8,11,8,23,0,10,2,91,2,5,2016
437,347,Patrick Patterson,PF,26,TOR,79,2020,,,15%,85%,,10.3,11.0,28,17,55,11,15,8,224,5,10,2016
438,348,Chris Paul,PG,30,LAC,74,2420,100%,,,,,10.6,16.2,130,36,54,14,67,15,1707,13,29,2016
439,349,Adreian Payne,PF,24,MIN,52,486,,,1%,95%,4%,-11.7,-9.5,14,10,34,7,8,1,65,0,9,2016
440,350,Cameron Payne,PG,21,OKC,57,698,95%,5%,,,,-1.4,-10.4,25,8,33,2,11,4,251,4,11,2016
441,351,Elfrid Payton,PG,21,ORL,73,2145,93%,7%,,,,-1.5,0.4,102,40,54,12,82,7,1051,28,87,2016
442,352,Nikola Peković,C,30,MIN,12,156,,,,,100%,-20.6,-18.0,1,3,5,4,9,0,27,0,2,2016
443,353,Kendrick Perkins,C,31,NOP,37,542,,,,8%,92%,-6.0,-2.5,11,10,26,12,8,1,70,1,7,2016
444,354,Paul Pierce,SF,38,LAC,68,1231,,,60%,40%,,0.7,-5.3,33,13,64,7,28,5,167,3,17,2016
445,355,Tibor Pleiß,C,26,UTA,12,82,,,,,100%,-4.9,-6.9,1,2,11,3,1,0,5,0,4,2016
446,356,Mason Plumlee,C,25,POR,82,2084,,,,2%,98%,1.8,2.1,73,43,115,29,144,8,543,28,63,2016
447,357,Miles Plumlee,C,27,MIL,61,870,,,,,100%,-5.2,-1.5,14,9,34,8,22,1,34,3,14,2016
448,358,Otto Porter,SF,22,WAS,75,2276,,,81%,18%,1%,0.8,3.1,28,21,77,9,53,12,267,13,27,2016
449,359,Bobby Portis,PF,20,CHI,62,1102,,,,49%,51%,-7.9,-8.6,21,17,48,8,29,3,128,5,22,2016
450,360,Kristaps Porziņģis,PF,20,NYK,72,2047,,,,70%,30%,-0.1,5.7,45,47,109,20,93,6,221,13,26,2016
451,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
452,361,Dwight Powell,PF,24,DAL,69,992,,,,70%,29%,-1.9,-2.3,13,14,46,9,59,9,108,15,20,2016
453,362,Norman Powell,SG,22,TOR,49,725,,91%,9%,,,6.2,1.7,10,8,23,3,25,2,117,4,24,2016
454,363,Phil Pressey,PG,24,TOT,23,283,100%,,,,,-8.2,0.8,26,4,8,1,10,1,182,3,9,2016
455,363,Phil Pressey,PG,24,PHI,14,170,100%,,,,,-4.2,6.8,15,1,2,1,8,0,113,2,8,2016
456,363,Phil Pressey,PG,24,PHO,9,113,100%,,,,,-13.9,-6.8,11,3,6,0,2,1,69,1,1,2016
457,364,Ronnie Price,PG,32,PHO,62,1211,87%,14%,,,,-2.7,6.6,45,20,50,2,14,14,341,2,12,2016
458,365,Pablo Prigioni,PG,38,LAC,59,823,98%,2%,,,,-3.4,-9.8,37,8,17,3,2,7,305,1,5,2016
459,366,Tayshaun Prince,SF,35,MIN,77,1462,,,84%,16%,,-2.7,0.9,15,7,34,2,8,10,163,1,4,2016
460,367,Julius Randle,PF,21,LAL,81,2286,,,2%,71%,27%,-15.3,-11.8,54,48,97,27,127,4,359,33,81,2016
461,368,Zach Randolph,PF,34,MEM,68,2016,,,,63%,37%,-1.3,2.2,46,33,56,10,81,5,338,9,72,2016
462,369,J.J. Redick,SG,31,LAC,75,2097,4%,96%,,,,10.8,13.7,44,22,63,3,67,19,249,14,21,2016
463,370,Willie Reed,C,25,BRK,39,426,,,,71%,29%,-8.2,-0.7,4,8,26,3,28,4,23,5,8,2016
464,371,Josh Richardson,SG,22,MIA,52,1107,12%,84%,4%,,,2.4,0.5,17,7,55,2,25,5,166,4,20,2016
465,372,Austin Rivers,SG,23,LAC,67,1464,42%,51%,7%,,,-3.2,-12.1,30,21,47,1,46,6,245,9,32,2016
466,373,Andre Roberson,SG,24,OKC,70,1553,,66%,32%,2%,,9.6,3.9,16,12,72,0,24,6,111,4,18,2016
467,374,Brian Roberts,PG,30,TOT,51,470,87%,13%,,,,-7.6,-10.0,17,4,22,2,20,5,129,9,7,2016
468,374,Brian Roberts,PG,30,CHO,30,333,81%,19%,,,,-2.7,-6.1,12,3,16,1,16,4,94,5,4,2016
469,374,Brian Roberts,PG,30,POR,21,137,100%,,,,,-18.8,-20.3,5,1,6,1,4,1,35,4,3,2016
