,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
120,86,Michael Carter-Williams,PG,22,PHI,70,2414,97%,3%,,,,-9.3,3.6,144,65,83,18,147,23,1017,37,110,2014
121,87,Omri Casspi,PF,25,HOU,71,1283,,,20%,78%,2%,5.1,0.5,29,21,57,8,38,3,210,6,22,2014
122,88,Mario Chalmers,PG,27,MIA,73,2178,80%,20%,,,,6.9,3.5,82,48,68,17,71,24,791,15,38,2014
123,89,Tyson Chandler,C,31,NYK,55,1662,,,,,100%,0.7,3.0,18,18,73,19,70,1,140,19,19,2014
124,90,Wilson Chandler,SF,26,DEN,62,1927,,6%,83%,11%,,-4.8,-5.1,31,16,97,17,63,2,266,13,32,2014
125,91,Josh Childress,SF,30,NOP,4,24,,,84%,16%,,29.9,32.7,0,1,0,0,0,0,4,0,0,2014
126,92,Dionte Christmas,SF,27,PHO,31,198,,33%,59%,8%,,-4.5,-7.4,2,2,8,0,9,1,19,0,4,2014
127,93,Earl Clark,PF,26,TOT,54,768,,,2%,91%,7%,-8.3,-6.7,13,8,45,2,17,2,38,2,15,2014
128,93,Earl Clark,PF,26,CLE,45,698,,,2%,92%,7%,-10.1,-8.1,12,8,41,2,12,1,33,2,15,2014
129,93,Earl Clark,PF,26,NYK,9,70,,,7%,81%,12%,9.8,11.1,1,0,4,0,5,1,5,0,0,2014
130,94,Ian Clark,SG,22,UTA,23,172,9%,76%,15%,,,4.3,12.8,8,1,17,1,1,0,32,0,5,2014
131,95,Victor Claver,SF,25,POR,21,184,,,4%,82%,14%,7.1,3.4,7,2,7,1,3,1,27,1,2,2014
132,96,Norris Cole,PG,25,MIA,82,2014,100%,,,,,3.5,-3.7,80,25,64,9,28,5,553,7,36,2014
133,97,Jason Collins,C,35,BRK,22,172,,,,,100%,-7.3,-6.9,1,1,18,4,2,0,9,1,2,2014
134,98,Darren Collison,PG,26,LAC,80,2069,69%,31%,,,,5.3,-3.6,73,31,63,9,94,14,697,21,39,2014
135,99,Nick Collison,PF,33,OKC,81,1353,,,10%,49%,41%,11.9,7.7,32,20,81,14,37,10,240,7,25,2014
