,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
403,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
404,321,Shabazz Napier,PG,25,POR,53,512,100%,,,,,2.3,2.9,19,18,13,1,25,9,165,10,9,2017
405,322,Maurice Ndour,PF,24,NYK,32,331,,,12%,83%,5%,-1.4,2.7,8,4,18,0,13,1,17,3,9,2017
406,323,Gary Neal,SG,32,ATL,2,18,65%,35%,,,,-15.7,-14.6,0,0,0,0,1,0,3,0,0,2017
407,324,Jameer Nelson,PG,34,DEN,75,2045,100%,,,,,2.4,4.9,76,28,80,6,18,11,914,4,22,2017
408,325,Raul Neto,PG,24,UTA,40,346,100%,,,,,15.0,11.5,7,5,21,3,5,4,81,3,10,2017
409,326,Georges Niang,PF,23,IND,23,93,,,34%,66%,,-1.4,-1.2,2,1,5,0,0,0,11,0,7,2017
410,327,Andrew Nicholson,PF,27,TOT,38,342,,,,72%,28%,-18.8,-17.2,3,7,23,3,7,0,24,4,3,2017
411,327,Andrew Nicholson,PF,27,WAS,28,231,,,,83%,17%,-13.3,-15.9,1,4,15,2,6,0,16,4,3,2017
412,327,Andrew Nicholson,PF,27,BRK,10,111,,,,50%,50%,-30.9,-25.1,2,3,8,1,1,0,8,0,0,2017
413,328,Joakim Noah,C,31,NYK,46,1015,,,,3%,97%,-6.5,-3.5,30,9,57,10,29,3,232,4,11,2017
414,329,Nerlens Noel,C,22,TOT,51,1047,,,,6%,95%,-2.8,2.2,17,16,61,12,46,5,116,12,12,2017
415,329,Nerlens Noel,C,22,PHI,29,564,,,,1%,99%,-5.5,0.6,11,8,35,7,24,2,66,4,9,2017
416,329,Nerlens Noel,C,22,DAL,22,483,,,,10%,90%,0.7,4.4,6,8,26,5,22,3,50,8,3,2017
417,330,Lucas Nogueira,C,24,TOR,57,1088,,,,23%,77%,8.8,5.9,16,7,54,21,31,2,109,9,10,2017
418,331,Steve Novak,PF,33,MIL,8,22,,,83%,18%,,-5.7,-5.8,0,0,1,0,0,0,0,0,0,2017
419,332,Dirk Nowitzki,PF,38,DAL,54,1424,,,,50%,50%,-1.9,2.0,26,19,77,6,31,4,202,9,11,2017
420,333,Jusuf Nurkić,C,22,TOT,65,1391,,,,,100%,-1.8,-2.0,55,40,70,33,89,4,268,17,43,2017
421,333,Jusuf Nurkić,C,22,DEN,45,807,,,,,100%,-9.4,-11.8,30,23,36,19,46,2,126,6,30,2017
422,333,Jusuf Nurkić,C,22,POR,20,584,,,,,100%,8.9,10.8,25,17,34,14,43,2,142,11,13,2017
423,334,David Nwaba,SG,24,LAL,20,397,22%,70%,9%,,,1.5,9.7,6,5,22,0,19,2,33,5,9,2017
424,335,Johnny O'Bryant,PF,23,TOT,11,80,,,,8%,92%,-16.0,-16.5,1,3,5,2,3,0,16,0,0,2017
425,335,Johnny O'Bryant,PF,23,DEN,7,46,,,,10%,90%,-20.8,-21.2,0,2,2,1,2,0,6,0,0,2017
426,335,Johnny O'Bryant,PF,23,CHO,4,34,,,,5%,95%,-9.1,-9.6,1,1,3,1,1,0,10,0,0,2017
427,336,Kyle O'Quinn,C,26,NYK,79,1229,,,,16%,84%,-6.5,-3.8,31,15,103,16,38,5,259,14,27,2017
